Nom,Popularitat,Artista,Artistes,Data,uri
Quan Tot S'enlaira,52,Txarango,Txarango,2012-05-11,5mKFMZpS49vKYImfjZPuWt
Músic de Carrer,52,Txarango,Txarango,2014-03-24,60vXhecWLQ9wOwfYk12Gjh
En Peu de Guerra,52,Els Catarres,Els Catarres,2015-03-12,2Kslq7iBGvdn3Ry1qODREY
Barcelona S'il·lumina,52,Buhos,Buhos,2016-04-01,5ngkgIsSU1Cp0mlBQq71lj
Caminem Lluny,52,Doctor Prats,Doctor Prats,2018-05-04,2IDv55ZrwsjayTHJgh5vEC
Estimar-te com la terra,52,Ginestà,Ginestà,2019-11-15,1Mv82uSpBRcqLheQXuEPGa
Ja No Fa Mal,52,La Fúmiga,"La Fúmiga, Samantha",2021-11-05,1cIiGsppYv1pkDPfcuIkDA
Cançons d'amor,52,La Fúmiga,"Els Catarres, La Fúmiga",2023-01-09,0tT70siAMiuzOmjGyW6jZK
LA PLATJA,52,The Tyets,"Stay Homas, The Tyets",2023-05-05,4seVO1d3uzE3inbIHFhSKn
Coti x Coti - Mon DJ & DJ Capde Oficial remix,52,Dj Capde,"The Tyets, Mon DJ, DJ Capde",2023-05-12,4czUFK1w94SOlIRVF0qn1C
4 KISSUS,52,Figa Flawas,Figa Flawas,2024-01-26,3jxYfL3JImYgVYUwDgSueU
SexeSexy,52,Mushkaa,"Mushkaa, Bad Gyal, Bexnil",2024-03-27,2uuMValcORiLp44OIOIoL5
Sushi Poke,52,The Tyets,"The Tyets, dani6ix & IZZKID",2025-04-04,1QvLkhsBtpBFHEz9GxX2zb
Menorca,51,The Tyets,The Tyets,2005-02-05,6ktnF4Y4TNzaDTylC92DL8
Inevitable,51,Oques Grasses,Oques Grasses,2005-02-05,3C3eBAihFEehucnBUo1tfn
Hitzeman,51,Oques Grasses,"ZETAK, Oques Grasses",2005-02-05,2BZNzPhRIBbrm62vNwgo4n
Sense Tu,51,Teràpia de Shock,Teràpia de Shock,2008-11-10,2WWBXo8SVGSi3Z4oB7yQDi
L'Empordà,51,Sopa de Cabra,Sopa De Cabra,2010-03-01,1vzugDTXDgZCF0QQrzB5hX
Rock & Roll,51,Els Catarres,Els Catarres,2013-03-21,0UcGhPiA8E5nmOl3f6pXVc
Bicicletes,51,Blaumut,Blaumut,2013-04-22,5EiZgiIaQ55WLhF5kMTx00
Mil Ocells,51,Txarango,"Txarango, Jarabe De Palo",2017-03-26,1ahqBdKQyHrDQcTpRvMrqy
Espremedors,51,La Fúmiga,La Fúmiga,2019-11-05,6PAspDwn6UFPJWLYBxpcDc
The Bright Side,51,Stay Homas,"Stay Homas, Oques Grasses",2020-06-26,4FT39hcPLSrP02YDBqOGLe
Nens Del Barri,51,31 FAM,31 FAM,2021-04-09,5zFjjyI7zZipsNcteOtFCB
Wake Up,51,Stay Homas,"Oques Grasses, Stay Homas",2021-05-28,2jFX7KfdsikRQRzdqKGvqw
Els teus ulls,51,Alfred García,Alfred García,2023-10-13,1BubwHEPWKvfjcB7GgYaJB
XALALÀ,51,Lluís Gavaldà,"Figa Flawas, Lluís Gavaldà",2024-01-26,4EIx8f8OJRnhorvdd21DYs
L'escut al pit (cant oficial del 125è aniversari del Barça),51,FC Barcelona,"FC Barcelona, Georgina Blanch, Miquel Biarnés, Joana Subirats, Marina Rico, Gemma Planella, Noemi Gallardo, Iago Garcia, Xavi Benítez, Dracs 1991",2024-11-14,4Vn5VasiV1SUGZArly3EsG
Boig Per Tu,50,Sau,Sau,1990-03-20,5gtwBFz91hNzSpSSiSmTvA
Llença't,50,Lax'n'Busto,Lax'n'Busto,2000-01-01,4ggCyLHi9itGzHsUgYhnN4
Que Vinguis,50,The Tyets,The Tyets,2005-02-05,7wJeo46my0VHqDdDX713Vb
Fa Dies,50,The Tyets,"The Tyets, Chiara Oliver",2005-02-05,5yNlI0mOTg9qOfZ3Ryyjva
De l'1 al què,50,The Tyets,The Tyets,2005-02-05,79Bm7OPyRKmgbY3Z8nU4PJ
Xuculatina - Remix,50,The Tyets,"Figa Flawas, The Tyets, Julieta",2005-02-05,1wvWlHtVXRgsm9ctGieVAx
Las manos,50,Zoo,"Ciudad Jara, La Vela Puerca, Colectivo Panamera, ZOO, TéCanela, La Raíz, Road Ramos",2005-02-05,2Gg9iqjgmLWhxX8m6KLt7h
Jenifer,50,Els Catarres,Els Catarres,2011-11-29,7hiceWoDGGP4RadNyGxRdm
El Lleó Vergonyós,50,El Pot Petit,El Pot Petit,2015-01-01,0u8KLMRPqyTbc1nnrXeGWs
Ventiladors,50,Zoo,ZOO,2017-03-24,0M25X6yEbmDd40kH7bxjLf
Les Nits No Moren Mai,50,Doctor Prats,Doctor Prats,2017-09-29,6f2TbjMgw6vhII3BbmbHHj
Yo Sigo Iual - Prod. Fakeguido & el Guincho,50,Bad Gyal,"Bad Gyal, Fakeguido, El Guincho",2018-02-21,25RN6owXD29BH7fu2vlz3q
Mil Batalles,50,Buhos,Buhos,2020-11-06,6ByKiM9xvn5IFRdUGNNjRt
Jenifer,50,Els Catarres,"Els Catarres, Figa Flawas",2023-11-17,2WOTHXKXl7iQGyvNj2g5kV
FINALS,50,La Fúmiga,La Fúmiga,2024-02-23,189C6SgHRUP3GQlp7kezlI
TOT ESTÀ PER FER,50,La Fúmiga,"La Fúmiga, Ginestà",2024-02-23,3WM0WJx35Bj0Oou7wPJNVQ
Deixar-se anar la mà,50,Ginestà,"Ginestà, Laia Manzanares",2025-01-15,6TzRYx9HpEreO87ZxgsEZ4
Et prometo,50,Ivan Herzog,Ivan Herzog,2025-04-18,5l1IMQfU4XlRKq2mXPXreJ
LA FORTUNA,50,Els Catarres,Els Catarres,2025-04-25,0WJXY0lMNmqHHfSaUyqqtk
L'amor de la meva vida,50,Julieta,Julieta,2025-05-09,0tWGoYoA7PrlVEmeeg1x9D
